"Task Detail Report"
"Mon 11/14/2016 - Mon 11/13/2017"
""
"General Labor"
"Date","Employee","In","Out","Job","Break","Total"
"","","","","","",""
"","","","","","Total","0:00"
"","","","","","",""
"Employee","Total"
"",""
"Total","0:00"
"",""
"Task","Total"
"",""
"Total","0:00"
"",""
"Maintenance"
"Date","Employee","In","Out","Job","Break","Total"
"","","","","","",""
"","","","","","Total","0:00"
"","","","","","",""
"Employee","Total"
"",""
"Total","0:00"
"",""
"Task","Total"
"",""
"Total","0:00"
"",""
"Repairs"
"Date","Employee","In","Out","Job","Break","Total"
"","","","","","",""
"","","","","","Total","0:00"
"","","","","","",""
"Employee","Total"
"",""
"Total","0:00"
"",""
"Task","Total"
"",""
"Total","0:00"
"",""
"Inspection"
"Date","Employee","In","Out","Job","Break","Total"
"","","","","","",""
"","","","","","Total","0:00"
"","","","","","",""
"Employee","Total"
"",""
"Total","0:00"
"",""
"Task","Total"
"",""
"Total","0:00"
"",""
"Move Out"
"Date","Employee","In","Out","Job","Break","Total"
"","","","","","",""
"","","","","","Total","0:00"
"","","","","","",""
"Employee","Total"
"",""
"Total","0:00"
"",""
"Task","Total"
"",""
"Total","0:00"
"",""
"Landscaping"
"Date","Employee","In","Out","Job","Break","Total"
"","","","","","",""
"","","","","","Total","0:00"
"","","","","","",""
"Employee","Total"
"",""
"Total","0:00"
"",""
"Task","Total"
"",""
"Total","0:00"
"",""
"Travel"
"Date","Employee","In","Out","Job","Break","Total"
"","","","","","",""
"","","","","","Total","0:00"
"","","","","","",""
"Employee","Total"
"",""
"Total","0:00"
"",""
"Task","Total"
"",""
"Total","0:00"
"",""
